name,price,merchant_id,quantity,description,photo_url
Pottery Class,5000,1,10,"Learn how to throw clay in Seattle, WA.",https://images.pexels.com/photos/54216/pexels-photo-54216.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Learn to Make Pizza,4000,1,10,"Make pizza by hand in Seattle, WA. Vegan and gluten-free options available. ",https://images.pexels.com/photos/724216/pexels-photo-724216.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
A Twist on Classic Stir Fry,9000,2,10,Experience asian fusion cuisine in the home of a San Francisco chef. ,https://images.pexels.com/photos/1537166/pexels-photo-1537166.jpeg?auto=compress&cs=tinysrgb&dpr=3&h=750&w=1260
"Live Music in Austin, TX",8000,2,10,Join our afro-funk band as we play in great venues around Austin. Join us for drinks after the performance. ,https://images.pexels.com/photos/1047442/pexels-photo-1047442.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Try out the Banjo,4000,2,10,"Get a brief intro to the banjo and tour our tiny home in Austin, TX.",https://images.pexels.com/photos/387/man-person-wall-music.jpg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Watch a Demo Interpretive Dance,6000,3,10,Drop in on our dance practice. See professionals work on body movements. Based in NYC.,https://images.pexels.com/photos/12312/pexels-photo-12312.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Go Dancing in NYC,10000,3,10,Go dancing with dancers. We will show you to our favorite clubs in NYC.,https://images.pexels.com/photos/1449791/pexels-photo-1449791.jpeg?auto=compress&cs=tinysrgb&dpr=3&h=750&w=1260
Youth-Friendly Confidence Course,2000,4,10,Zip line and team building exercises in the great outdoors of WA state!,https://images.pexels.com/photos/434400/pexels-photo-434400.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Indoor Climbing,1550,4,10,Indoor climbing lesson by experienced climbers in Seattle.,https://images.pexels.com/photos/419293/pexels-photo-419293.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
2 Day Climbing Expedition,30000,4,10,Join us for an extended trip in the Cascades! ,https://images.pexels.com/photos/357891/pexels-photo-357891.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Tanzania Wildlife Tour,4000,5,10,Welcome to our home. We maintain an animal shelter outside Dar es Salaam. We will show your our animals and share lunch.,https://images.pexels.com/photos/1670732/pexels-photo-1670732.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Wilderness Course,3000,6,10,"Learn how to start a fire and other key wilderness skills. Based in Portland, OR.",https://images.pexels.com/photos/167708/pexels-photo-167708.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Visit an Artist's Studio,4500,7,10,Visit my studio in Vancouver. I will discuss my process and show you my works in progress at different stages of development.,https://images.pexels.com/photos/1012982/pexels-photo-1012982.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Learn to Paint,7000,7,10,"I will teach you basic color theory and we can discuss abstract composition. But more than anything, this is time to play! Based in Vancouver.",https://images.pexels.com/photos/542556/pexels-photo-542556.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Seattle Beer Tour,2222,8,10,Try out the best craft beer places in Seattle! I am a brewer and will be able to explain the process as we do a series of beer-tastings.,https://images.pexels.com/photos/2209519/pexels-photo-2209519.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Learn to do Henna,899,9,10,Do you want to learn henna? I will show you how it is done and you will leave with a beautiful design. Based in Los Angeles. ,https://images.pexels.com/photos/2247886/pexels-photo-2247886.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Spring Plants Gardening Lesson,3399,10,15,"Come visit my garden. I am a professional horticulturist and plant enthusiast! I will make you tea and cookies and we can plan your garden design. Based in New Haven, CT.",https://images.pexels.com/photos/298246/pexels-photo-298246.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Plant Photography,1099,10,15,"Practice plant photography with me! I am a professional horticulturist and plant enthusiast! I have had my photos featured in Home & Garden. Based in New Haven, CT.",https://images.pexels.com/photos/1264210/pexels-photo-1264210.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Meet my Chameleon,4139,11,15,"Meet Edgar. He is soooo cooooool. Based in Austin, TX.",https://images.pexels.com/photos/1356304/pexels-photo-1356304.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Glitter & Body Paint Party,4200,12,15,I am a costume artist for the Miami ballet. Meaning I can make you look epic! Mixer at Miami venue to follow (optional).,https://images.pexels.com/photos/1081685/pexels-photo-1081685.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Learn to Make Cake Pops,5002,13,15,"Visit my bakery in Boston, MA. I will show you around, explain how our business operates, and give you lots of taste tests! Finally, we will make cake pops together.",https://images.pexels.com/photos/783273/pexels-photo-783273.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Learn to Make Chocolate,8200,13,15,"Visit my bakery in Boston, MA. I will show you around, explain how our business operates, and give you lots of taste tests! Then we'll make some chocolate!",https://images.pexels.com/photos/867464/pexels-photo-867464.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Knit with Nancy!,7500,14,15,"Together we will get you started on your own scarf. Wool is local and naturally dyed. Vashon Island, WA.",https://images.pexels.com/photos/2070647/pexels-photo-2070647.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Meet Sheep & Visit Wool Shop,3300,14,15,"We operate a small business out of Vashon, WA where we process wool naturally and use natural dyes. Meet our sheep, they are very friendly!",https://images.pexels.com/photos/688618/pexels-photo-688618.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Ride a Horse,1000,15,20,"You're welcome to our ranch for an introduction to equestrian life! Located in Charlottesville, VA",https://images.pexels.com/photos/1996330/pexels-photo-1996330.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Create Bouquets,1200,16,20,Join us in our florist shop in Santa Barbara. We will teach you how to arrange flowers like a pro!,https://images.pexels.com/photos/1484657/pexels-photo-1484657.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Tour a Florist Shop,1200,16,20,Learn how I got started as a florist and how we've managed to do what we love!,https://images.pexels.com/photos/395132/pexels-photo-395132.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
Scuba Dive in Bali,60000,17,20,Do you love the ocean? We do! Join us for marine adventures in Bali!,https://images.pexels.com/photos/37530/divers-scuba-divers-diving-underwater-37530.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260
